(1629633295.278000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.281000) can0  5A2#5C8FC23F8FC275BDEC51D83F
(1629633295.282000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.286000) can0  5A2#3333D33FCDCCCCBDCDCCEC3F
(1629633295.287000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.290000) can0  5A2#C3F5C83FAD7A3BD713DEA3F
(1629633295.291000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.294000) can0  5A2#295CCF3FCDCCCCBD5C8FE23F
(1629633295.296000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.299000) can0  5A2#5C8FE23FCDCC4CBDC3F5E83F
(1629633295.300000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.303000) can0  5A2#3333D33FAD723BE6666E63F
(1629633295.305000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.308000) can0  5A2#B81EC53FAE47E1BD52B8DE3F
(1629633295.309000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.312000) can0  5A2#3DAD73FAD723BE5C8FE23F
(1629633295.313000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.317000) can0  5A2#D7A3F03F7B142EBE9A99D93F
(1629633295.318000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.321000) can0  5A2#B81EC53F0080BE00E03F
(1629633295.322000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.326000) can0  5A2#5C8FC23FB81E85BE5C8FE23F
(1629633295.327000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.330000) can0  5A2#B81EC53F295CFBEAD7E33F
(1629633295.331000) can0  5C2#AE47E13DCDCCCCBD48E17ABF
(1629633295.333000) can0  240#6BA00
(1629633295.333000) can0  200#8BCE882103A6087
(1629633295.335000) can0  5A2#CDCCCC3FAD7A3BC713DEA3F
(1629633295.336000) can0  5C2#AE47E13DCDCCCCBD48E17ABF
(1629633295.339000) can0  5A2#3333D33FAD7A3BDAD7E33F
(1629633295.340000) can0  5C2#AE47E13DCDCCCCBD48E17ABF
(1629633295.344000) can0  5A2#6666C63FEC5138BE00E03F
(1629633295.345000) can0  5C2#8FC2F53DEC51B8BDEC5178BF
(1629633295.348000) can0  5A2#6666E63F7B142EBE48E1DA3F
(1629633295.349000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.353000) can0  5A2#7B14CE3F8FC2F5BD52B8DE3F
(1629633295.354000) can0  5C2#AE47E13DAD7A3BD333373BF
(1629633295.357000) can0  5A2#3DAD73FAD723BD5C8FE23F
(1629633295.358000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.361000) can0  5A2#B81EC53FCDCC4CBE5C8FE23F
(1629633295.363000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.366000) can0  5A2#00E03F7B142EBE713DEA3F
(1629633295.367000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.370000) can0  562#FB7C2AC3
(1629633295.370000) can0  682#FB7C2AC3
(1629633295.370000) can0  5A2#295CCF3FB81E85BE52B8DE3F
(1629633295.372000) can0  642#B97C1342
(1629633295.372000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.373000) can0  522#357C8442
(1629633295.375000) can0  5A2#48E1DA3F295C8FBD5C8FE23F
(1629633295.377000) can0  5C2#AE47E13DCDCCCCBD48E17ABF
(1629633295.379000) can0  5A2#5C8FC23FAD7A33C6666E63F
(1629633295.381000) can0  5C2#AE47E13DCDCCCCBDA4707DBF
(1629633295.384000) can0  5A2#AE47C13FCDCC4CBD00E03F
(1629633295.385000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.388000) can0  5A2#AD7E33FCDCC4C3DAD7E33F
(1629633295.390000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.393000) can0  5A2#295CCF3FCDCC4CBD3DAD73F
(1629633295.394000) can0  5C2#AE47E13DAD7A3BD333373BF
(1629633295.397000) can0  5A2#9A99D93F8FC2F5BDAE47E13F
(1629633295.398000) can0  220#BA3CA691
(1629633295.399000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.402000) can0  5A2#AD7C33F9A9919BEAE47E13F
(1629633295.403000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.407000) can0  5A2#F628DC3FB81E5BE00E03F
(1629633295.407000) can0  5C2#AE47E13DCDCCCCBDD7A370BF
(1629633295.411000) can0  5A2#14AEC73F7B142EBE8FC2D53F
(1629633295.412000) can0  5C2#8FC2F53DCDCCCCBD8FC275BF
(1629633295.415000) can0  5A2#C3F5C83F8FC2F5BD48E1DA3F
(1629633295.418000) can0  5C2#AE47E13DCDCCCCBD48E17ABF
(1629633295.420000) can0  5A2#EC51D83FAE47E1BD52B8DE3F
(1629633295.421000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.424000) can0  5A2#3DAB73FAE47E1BD3DAD73F
(1629633295.425000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.429000) can0  5A2#AE47C13FAD7A3BCAE47E13F
(1629633295.430000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.433000) can0  5A2#A470DD3FAD7A3BDAD7E33F
(1629633295.434000) can0  5C2#CDCCCC3DAD7A3BD8FC275BF
(1629633295.438000) can0  5A2#CDCCCC3F295CFBEAD7E33F
(1629633295.444000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.444000) can0  5A2#D7A3D03F3DA57BE48E1DA3F
(1629633295.445000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.447000) can0  5A2#9A99B93F295CFBE52B8DE3F
(1629633295.449000) can0  5C2#8FC2F53DCDCCCCBD333373BF
(1629633295.451000) can0  5A2#F628BC3F295CFBE8FC2D53F
(1629633295.452000) can0  5C2#8FC2F53DCDCCCCBD333373BF
(1629633295.455000) can0  5A2#D7A3D03FAE47E1BDB81EE53F
(1629633295.457000) can0  5C2#8FC2F53DCDCCCCBDEC5178BF
(1629633295.460000) can0  5A2#48E1DA3FEC51B8BD7B14EE3F
(1629633295.463000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.464000) can0  5A2#1F85CB3FAD723BD6666E63F
(1629633295.466000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.469000) can0  5A2#48E1DA3FCDCC4CBD85EBF13F
(1629633295.469000) can0  682#FB7C2AC3
(1629633295.470000) can0  562#FB7C2AC3
(1629633295.470000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.471000) can0  642#31581342
(1629633295.472000) can0  522#AC578442
(1629633295.473000) can0  5A2#3DAD73FAD7A3BDC3F5E83F
(1629633295.475000) can0  5C2#AE47E13DEC51B8BDA4707DBF
(1629633295.478000) can0  5A2#3333D33F0000B81EE53F
(1629633295.479000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.482000) can0  5A2#D7A3D03FAD7A3BD00E03F
(1629633295.483000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.487000) can0  5A2#7B14CE3F1F856BBE52B8DE3F
(1629633295.488000) can0  5C2#8FC2F53DCDCCCCBD333373BF
(1629633295.491000) can0  5A2#A470BD3FEC5138BEF628DC3F
(1629633295.492000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.496000) can0  5A2#7B14CE3FAD7A3BCA470DD3F
(1629633295.497000) can0  5C2#8FC2F53DCDCCCCBD8FC275BF
(1629633295.500000) can0  5A2#B81EC53FAE47E1BDAE47E13F
(1629633295.501000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.505000) can0  5A2#B81EC53FAD7A3BD52B8DE3F
(1629633295.506000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.509000) can0  5A2#C3F5C83F8FC2F5BDAD7E33F
(1629633295.510000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.514000) can0  5A2#AD7E33F295CFBEAE47E13F
(1629633295.515000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.520000) can0  5A2#EC51D83F295CFBE52B8DE3F
(1629633295.523000) can0  5A2#EC51B83FAD723BE48E1DA3F
(1629633295.524000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.527000) can0  5A2#14AEC73FCDCC4CBD52B8DE3F
(1629633295.528000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.532000) can0  5A2#1F85CB3FEC51B8BDAD7E33F
(1629633295.533000) can0  5C2#8FC2F53DCDCCCCBD333373BF
(1629633295.536000) can0  5A2#713DCA3FCDCC4CBDAE47E13F
(1629633295.537000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.540000) can0  5A2#9A99B93FCDCC4CBD52B8DE3F
(1629633295.542000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.545000) can0  5A2#00E03FAD723BC713DEA3F
(1629633295.546000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.549000) can0  5A2#1F85CB3FAD7A3BD1F85EB3F
(1629633295.551000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.554000) can0  5A2#CDCCCC3FAE47E1BD14AEE73F
(1629633295.555000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.559000) can0  5A2#3DAB73F8FC2F5BD9A99D93F
(1629633295.560000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.563000) can0  5A2#3333D33F9A9919BE52B8DE3F
(1629633295.564000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.567000) can0  5A2#7B14CE3F295CFBE48E1DA3F
(1629633295.569000) can0  5C2#8FC2F53DCDCCCCBD8FC275BF
(1629633295.569000) can0  682#FB7C2AC3
(1629633295.569000) can0  562#FB7C2AC3
(1629633295.571000) can0  642#756A1342
(1629633295.572000) can0  5A2#85EBD13FAD723BE48E1DA3F
(1629633295.572000) can0  522#68458442
(1629633295.573000) can0  5C2#8FC2F53DCDCCCCBDD7A370BF
(1629633295.578000) can0  5A2#3333D33F295CFBEAE47E13F
(1629633295.581000) can0  5A2#295CCF3F295C8FBD48E1DA3F
(1629633295.582000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.585000) can0  5A2#AE47C13F295CFBE5C8FE23F
(1629633295.586000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.590000) can0  5A2#AE47C13FAD723BD9A99D93F
(1629633295.591000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.594000) can0  5A2#48E1BA3FAD7A33C5C8FE23F
(1629633295.595000) can0  200#8BCF882303A6189
(1629633295.596000) can0  240#6B800
(1629633295.596000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.599000) can0  5A2#85EBD13FAD7A3BD52B8DE3F
(1629633295.600000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.603000) can0  5A2#713DCA3FCDCC4CBD8FC2D53F
(1629633295.604000) can0  5C2#8FC2F53DCDCCCCBDEC5178BF
(1629633295.608000) can0  5A2#AE47C13F295CFBE5C8FE23F
(1629633295.609000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.612000) can0  5A2#48E1DA3FAD7A3BD52B8DE3F
(1629633295.613000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.617000) can0  5A2#8FC2D53FAD7233CAD7E33F
(1629633295.618000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.621000) can0  5A2#8FC2B53FCDCC4CBDF628DC3F
(1629633295.622000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.626000) can0  5A2#D7A3D03F295C8FBD52B8DE3F
(1629633295.627000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.630000) can0  5A2#00C03FAE47E1BD52B8DE3F
(1629633295.631000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.634000) can0  5A2#713DCA3FAD7A3BC48E1DA3F
(1629633295.636000) can0  5C2#AE47E13DCDCCCCBDEC5178BF
(1629633295.639000) can0  5A2#C3F5C83F00005C8FE23F
(1629633295.640000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.643000) can0  5A2#295CCF3F0000C3F5E83F
(1629633295.645000) can0  5C2#8FC2F53DAE47E1BDEC5178BF
(1629633295.648000) can0  5A2#52B8DE3FCDCC4CBD52B8DE3F
(1629633295.649000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.652000) can0  5A2#AE47C13FCDCCCCBDAE47E13F
(1629633295.654000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.657000) can0  5A2#3333D33F295C8FBDB81EE53F
(1629633295.658000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.661000) can0  220#BA3CA691
(1629633295.661000) can0  5A2#52B8DE3FCDCC4CBDF628DC3F
(1629633295.662000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.666000) can0  5A2#5C8FE23F295C8FBD52B8DE3F
(1629633295.667000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.669000) can0  682#FB7C2AC3
(1629633295.669000) can0  562#FB7C2AC3
(1629633295.670000) can0  5A2#9A99D93FCDCCCCBD00E03F
(1629633295.671000) can0  642#20981342
(1629633295.671000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.672000) can0  522#932E8442
(1629633295.675000) can0  5A2#C3F5C83FAD723BE5C8FE23F
(1629633295.676000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.679000) can0  5A2#AD7E33F000014AEE73F
(1629633295.680000) can0  5C2#8FC2F53DCDCCCCBD8FC275BF
(1629633295.684000) can0  5A2#3333D33F295C8FBD6666E63F
(1629633295.685000) can0  5C2#8FC2F53DCDCCCCBD8FC275BF
(1629633295.688000) can0  5A2#14AEC73FCDCCCCBD52B8DE3F
(1629633295.690000) can0  5C2#AE47E13DCDCCCCBDD7A370BF
(1629633295.693000) can0  5A2#48E1DA3FAD7A3BD5C8FE23F
(1629633295.694000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.697000) can0  5A2#C3F5C83FCDCCCCBD52B8DE3F
(1629633295.698000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.702000) can0  5A2#52B8BE3FCDCCCCBDAE47E13F
(1629633295.703000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.706000) can0  5A2#CDCCCC3FAD7A3BCAD7E33F
(1629633295.707000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.711000) can0  5A2#295CCF3F8FC2F5BC1F85EB3F
(1629633295.712000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.715000) can0  5A2#00E03FAD7A3BC7B14EE3F
(1629633295.716000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.722000) can0  5A2#F628BC3F8FC2F5BC6666E63F
(1629633295.724000) can0  5A2#A470DD3FAD7A3BC5C8FE23F
(1629633295.725000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.728000) can0  5A2#AE47C13F5C8F42BEF628DC3F
(1629633295.730000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.733000) can0  5A2#3333D33F295CFBE6666E63F
(1629633295.734000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.737000) can0  5A2#7B14EE3FEC51B8BD713DEA3F
(1629633295.739000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.742000) can0  5A2#EC51D83F8FC275BDC3F5E83F
(1629633295.743000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.746000) can0  5A2#1F85EB3FAE4761BEF628DC3F
(1629633295.748000) can0  5C2#AE47E13DCDCCCCBD0080BF
(1629633295.751000) can0  5A2#5C8FE23F1F856BBE8FC2D53F
(1629633295.752000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.755000) can0  5A2#7B14EE3F295CFBEEC51D83F
(1629633295.756000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.760000) can0  5A2#A470BD3F295CFBE713DEA3F
(1629633295.761000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.764000) can0  5A2#3333D33FAE4761BE52B8DE3F
(1629633295.765000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.769000) can0  5A2#52B8DE3FEC5138BE48E1DA3F
(1629633295.769000) can0  682#FB7C2AC3
(1629633295.769000) can0  562#FB7C2AC3
(1629633295.770000) can0  5C2#AE47E13DEC51B8BD7B146EBF
(1629633295.771000) can0  642#53611342
(1629633295.772000) can0  522#B5378442
