(1629633307.946000) can0  240#06B80000
(1629633308.110000) can0  220#0B8A0C7A0901
(1629633308.208000) can0  200#8C35886E003A8C19
(1629633308.208000) can0  240#06B80000
(1629633308.274000) can0  220#0B8A0C7A0901
(1629633308.471000) can0  200#8C368870003A8CE3
(1629633308.471000) can0  240#06B80000
(1629633308.537000) can0  220#0B8A0C7A0901
(1629633308.734000) can0  200#8C388872003A8DA1
(1629633308.734000) can0  240#06B80000
(1629633308.800000) can0  220#0B890C7A0901
(1629633308.997000) can0  200#8C3A8873003A8E71
(1629633308.997000) can0  240#06B80000
(1629633309.620000) can0  220#0B890C7A0901
(1629633309.259000) can0  200#8C3C8874003A8F1D
(1629633309.260000) can0  240#06B80000
(1629633309.325000) can0  220#0B880C7A0901
(1629633309.522000) can0  200#8C3D8877003A8FF3
(1629633309.522000) can0  240#06B80000
(1629633309.588000) can0  220#0B880C7A0901
(1629633309.785000) can0  200#8C3E8878003A90B1
(1629633309.785000) can0  240#06B80000
(1629633309.851000) can0  220#0B870C7A0901
(1629633310.480000) can0  200#8C418878003A9165
(1629633310.480000) can0  240#06B80000
(1629633310.114000) can0  220#0B870C7A0901
(1629633310.311000) can0  200#8C42887A003A9225
(1629633310.311000) can0  240#06B80000
(1629633310.376000) can0  220#0B870C710901
(1629633310.573000) can0  200#8C43887B003A92DF
(1629633310.573000) can0  240#06B80000
(1629633310.639000) can0  220#0B860C710901
(1629633310.836000) can0  200#8C45887C003A93A7
(1629633310.836000) can0  240#06B80000
(1629633310.902000) can0  220#0B860C710901
(1629633311.990000) can0  200#8C47887E003A9460
(1629633311.990000) can0  240#06B80000
(1629633311.165000) can0  220#0B850C710901
(1629633311.362000) can0  200#8C49887F003A9513
(1629633311.362000) can0  240#06BA0000
(1629633311.428000) can0  220#0B850C710901
(1629633311.625000) can0  200#8C4A8881003A95D2
(1629633311.625000) can0  240#06BA0000
(1629633311.690000) can0  220#0B840C710901
(1629633311.887000) can0  200#8C4B8883003A969C
(1629633311.888000) can0  240#06BA0000
(1629633311.953000) can0  220#0B840C710901
(1629633312.150000) can0  200#8C4D8884003A973E
(1629633312.150000) can0  240#06BA0000
(1629633312.216000) can0  220#0B840C710901
(1629633312.413000) can0  200#8C4E8887003A9803
(1629633312.413000) can0  240#06BA0000
(1629633312.479000) can0  220#0B830C710901
(1629633312.676000) can0  200#8C518888003A98B5
(1629633312.676000) can0  240#06BA0000
(1629633312.742000) can0  220#0B830C710901
(1629633312.938000) can0  200#8C528889003A996A
(1629633312.939000) can0  240#06BA0000
(1629633313.130000) can0  220#0B820C710901
(1629633313.201000) can0  200#8C538889003A9A27
(1629633313.201000) can0  240#06BA0000
(1629633313.267000) can0  220#0B820C710901
(1629633313.466000) can0  200#8C54888C003A9AD3
(1629633313.467000) can0  240#06B80000
(1629633313.530000) can0  220#0B810C680901
(1629633313.727000) can0  200#8C54888D003A9B76
(1629633313.727000) can0  240#06BA0000
(1629633313.793000) can0  220#0B810C680901
(1629633313.990000) can0  200#8C57888E003A9C3C
(1629633313.990000) can0  240#06BA0000
(1629633314.550000) can0  220#0B810C680901
(1629633314.252000) can0  200#8C58888F003A9CE6
(1629633314.252000) can0  240#06BA0000
(1629633314.318000) can0  220#0B800C680901
(1629633314.515000) can0  200#8C5A8891003A9D8D
(1629633314.515000) can0  240#06BA0000
(1629633314.581000) can0  220#0B800C680901
(1629633314.778000) can0  200#8C5C8892003A9E53
(1629633314.778000) can0  240#06B80000
(1629633314.844000) can0  220#0B7F0C680901
(1629633315.410000) can0  200#8C5C8895003A9EF9
(1629633315.410000) can0  240#06BA0000
(1629633315.106000) can0  220#0B7F0C680901
(1629633315.303000) can0  200#8C5F8896003A9FA1
(1629633315.304000) can0  240#06BA0000
(1629633315.370000) can0  220#0B7F0C680901
(1629633315.566000) can0  200#8C5F8898003AA044
(1629633315.566000) can0  240#06B80000
(1629633315.632000) can0  220#0B7E0C680901
(1629633315.829000) can0  200#8C608897003AA0EC
(1629633315.829000) can0  240#06BA0000
(1629633315.895000) can0  220#0B7E0C680901
(1629633316.920000) can0  200#8C62889B003AA196
(1629633316.920000) can0  240#06BA0000
(1629633316.158000) can0  220#0B7E0C680901
(1629633316.355000) can0  200#8C64889B003AA24D
(1629633316.355000) can0  240#06BA0000
(1629633316.420000) can0  220#0B7D0C680901
(1629633316.617000) can0  200#8C64889C003AA2F7
(1629633316.618000) can0  240#06BA0000
(1629633316.683000) can0  220#0B7D0C630901
(1629633316.881000) can0  200#8C66889E003AA395
(1629633316.882000) can0  240#06BA0000
(1629633316.947000) can0  220#0B7C0C630901
(1629633317.143000) can0  200#8C6788A0003AA433
(1629633317.143000) can0  240#06B80000
(1629633317.209000) can0  220#0B7C0C630901
(1629633317.406000) can0  200#8C6988A1003AA4E3
(1629633317.406000) can0  240#06BA0000
(1629633317.472000) can0  220#0B7B0C630901
(1629633317.669000) can0  200#8C6B88A2003AA587
(1629633317.669000) can0  240#06BA0000
(1629633317.734000) can0  220#0B7B0C630901
(1629633317.931000) can0  200#8C6B88A4003AA62E
(1629633317.931000) can0  240#06B80000
(1629633317.997000) can0  220#0B7B0C5F0901
(1629633318.194000) can0  200#8C6E88A5003AA6CF
(1629633318.195000) can0  240#06B80000
(1629633318.260000) can0  220#0B7A0C5F0901
(1629633318.457000) can0  200#8C6E88A8003AA77D
(1629633318.457000) can0  240#06BA0000
(1629633318.523000) can0  220#0B7A0C5F0901
(1629633318.721000) can0  200#8C7088A8003AA815
(1629633318.721000) can0  240#06BA0000
(1629633318.785000) can0  220#0B7A0C5F0901
(1629633318.982000) can0  200#8C7088AA003AA8BA
(1629633318.983000) can0  240#06BA0000
(1629633319.480000) can0  220#0B790C5F0901
(1629633319.245000) can0  200#8C7288AA003AA94A
(1629633319.246000) can0  240#06B80000
(1629633319.311000) can0  220#0B790C5F0901
(1629633319.508000) can0  200#8C7488AC003AA9EB
(1629633319.508000) can0  240#06BA0000
(1629633319.574000) can0  220#0B780C5F0901
(1629633319.771000) can0  200#8C7588AF003AAA85
(1629633319.771000) can0  240#06BA0000
(1629633319.836000) can0  220#0B780C5E0901
(1629633320.330000) can0  200#8C7588AF003AAB2B
(1629633320.340000) can0  240#06BA0000
(1629633320.990000) can0  220#0B780C5E0901
(1629633320.296000) can0  200#8C7788B1003AABC3
(1629633320.296000) can0  240#06BA0000
(1629633320.362000) can0  220#0B770C5E0901
(1629633320.559000) can0  200#8C7888B2003AAC5A
(1629633320.559000) can0  240#06BA0000
(1629633320.625000) can0  220#0B770C5E0901
(1629633320.822000) can0  200#8C7988B4003AACF3
(1629633320.822000) can0  240#06BA0000
